Neighborhood,mean_rel_error,median_rel_error,avg_price,count
Somerst,0.027854290972901652,0.017687523321211436,318782.0000000001,5
NridgHt,0.04876066565984347,-0.008706180020848664,390992.71875,32
StoneBr,0.11268621773948813,0.08413016978869778,432342.66666666674,6
NoRidge,0.4173817600718122,0.2176865690046821,584933.5999999999,5
