OverallQual,count,mean,median
5,21,-0.26227353454970576,-0.22776682782307675
7,14,-0.24248407617557102,-0.2065885126514614
4,13,-0.2832917222210868,-0.20876894498550072
6,10,-0.24002683892320759,-0.25557706584944617
8,7,-0.3025735872363188,-0.265884308097645
1,2,-0.2374874001181021,-0.2374874001181021
3,2,-0.3890091782908077,-0.3890091782908077
10,2,-0.7473249214763351,-0.7473249214763351
2,1,-0.31276466571419925,-0.31276466571419925
9,1,-0.18962771469090522,-0.18962771469090522
